tag,model,num_pages,Accuracy,Precision,Recall,F1-score
padl800_pin0p01_pout0p01_L0_G0,DF,95,0.736817894736842,0.7707600000000001,0.7371189473684209,0.7280610526315792
padl800_pin0p01_pout0p01_L0_G0,TikTok,95,0.7387999999999999,0.7712378947368422,0.7390957894736843,0.7308705263157896
padl800_pin0p01_pout0p01_L0_G0,VarCNN,95,0.7202978947368419,0.7515599999999998,0.7206178947368422,0.7124484210526318
padl800_pin0p01_pout0p01_L0_G0,RF,95,0.6181768421052632,0.6907589473684209,0.6184642105263158,0.5673126315789472
