tag,model,num_pages,Accuracy,Precision,Recall,F1-score
padl200_pin0p015_pout0p015_L0_G0,DF,95,0.7788389473684212,0.8011189473684212,0.7790389473684208,0.7742431578947367
padl200_pin0p015_pout0p015_L0_G0,TikTok,95,0.7434389473684213,0.7290747368421054,0.7434178947368422,0.7202431578947369
padl200_pin0p015_pout0p015_L0_G0,VarCNN,95,0.7093736842105265,0.7424757894736842,0.7095747368421054,0.694223157894737
padl200_pin0p015_pout0p015_L0_G0,RF,95,0.698117894736842,0.7045473684210528,0.6983452631578946,0.6670642105263156
