tag,model,num_pages,Accuracy,Precision,Recall,F1-score
padl400_pin0p02_pout0p02_L0_G0,DF,95,0.8069273684210528,0.8255326315789479,0.8071399999999997,0.8034989473684214
padl400_pin0p02_pout0p02_L0_G0,TikTok,95,0.7786494736842106,0.776181052631579,0.7787063157894735,0.7625936842105263
padl400_pin0p02_pout0p02_L0_G0,VarCNN,95,0.728004210526316,0.7536284210526313,0.7281789473684211,0.7165926315789474
padl400_pin0p02_pout0p02_L0_G0,RF,95,0.6820052631578946,0.7009631578947368,0.6822136842105264,0.646103157894737
