tag,model,num_pages,Accuracy,Precision,Recall,F1-score
padl500_pin0p005_pout0p005_L0_G0,DF,95,0.6064705263157893,0.7213357894736846,0.6070410526315789,0.5389747368421053
padl500_pin0p005_pout0p005_L0_G0,TikTok,95,0.6041894736842104,0.7059863157894738,0.6046284210526316,0.5369631578947371
padl500_pin0p005_pout0p005_L0_G0,VarCNN,95,0.6061547368421052,0.7136336842105263,0.6067599999999999,0.5442736842105262
padl500_pin0p005_pout0p005_L0_G0,RF,95,0.5425873684210527,0.6724126315789474,0.543361052631579,0.42296736842105287
