tag,model,num_pages,Accuracy,Precision,Recall,F1-score
padl300_pin0p005_pout0p005_L0_G0,DF,95,0.6087747368421053,0.728837894736842,0.6093968421052632,0.5411810526315791
padl300_pin0p005_pout0p005_L0_G0,TikTok,95,0.6058747368421052,0.7136273684210522,0.6063105263157894,0.5387284210526317
padl300_pin0p005_pout0p005_L0_G0,VarCNN,95,0.6037199999999998,0.7056115789473684,0.6042084210526314,0.5427063157894737
padl300_pin0p005_pout0p005_L0_G0,RF,95,0.5671726315789475,0.6938305263157895,0.5679031578947366,0.46855789473684223
