tag,model,num_pages,Accuracy,Precision,Recall,F1-score
padl500_pin0p01_pout0p01_L0_G0,DF,95,0.7373915789473681,0.7709094736842106,0.7376894736842102,0.729094736842105
padl500_pin0p01_pout0p01_L0_G0,TikTok,95,0.7311305263157897,0.760385263157895,0.7313294736842106,0.7201999999999995
padl500_pin0p01_pout0p01_L0_G0,VarCNN,95,0.7048073684210526,0.7384273684210526,0.7051094736842105,0.69426
padl500_pin0p01_pout0p01_L0_G0,RF,95,0.6550284210526313,0.6989263157894734,0.655318947368421,0.6220621052631581
